1150057742	20230106	202301	2023	2023.0164	ISR	ISRAEL	ISR								LBN	LEBANESE	LBN								0	015	015	01	1	0.0	10	1	10	-6.9620253164557	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Beirut, Beyrouth, Lebanon	LE	LE04	18808	33.8719	35.5097	-801546	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20240106093000	https://www.sbs.com.au/news/article/dozens-of-rockets-fired-at-israel-as-initial-response-to-hamas-deputy-killing-hezbollah-says/v9n056vsz
1150057743	20230106	202301	2023	2023.0164	ISR	ISRAEL	ISR								LBN	LEBANESE	LBN								0	043	043	04	1	2.8	10	1	10	-6.9620253164557	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Beirut, Beyrouth, Lebanon	LE	LE04	18808	33.8719	35.5097	-801546	4	Beirut, Beyrouth, Lebanon	LE	LE04	18808	33.8719	35.5097	-801546	20240106093000	https://www.sbs.com.au/news/article/dozens-of-rockets-fired-at-israel-as-initial-response-to-hamas-deputy-killing-hezbollah-says/v9n056vsz
1150057744	20230106	202301	2023	2023.0164	LBN	LEBANESE	LBN								ISR	ISRAEL	ISR								0	042	042	04	1	1.9	10	1	10	-6.9620253164557	4	Beirut, Beyrouth, Lebanon	LE	LE04	18808	33.8719	35.5097	-801546	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Beirut, Beyrouth, Lebanon	LE	LE04	18808	33.8719	35.5097	-801546	20240106093000	https://www.sbs.com.au/news/article/dozens-of-rockets-fired-at-israel-as-initial-response-to-hamas-deputy-killing-hezbollah-says/v9n056vsz
1150057745	20230106	202301	2023	2023.0164	USAGOV	JOE BIDEN	USA					GOV			IMGMOSALQ	AL QAEDA		ALQ		MOS		IMG			0	010	010	01	1	0.0	10	1	10	0	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	20240106093000	https://tolonews.com/afghanistan-186832
1150057746	20231207	202312	2023	2023.9233											EDU	SCHOOL						EDU			1	040	040	04	1	1.0	10	1	10	4.62724935732648	0								2	Missouri, United States	US	USMO		38.4623	-92.302	MO	2	Missouri, United States	US	USMO		38.4623	-92.302	MO	20240106093000	https://khqa.com/news/local/hannibal-school-district-hopes-to-put-recently-approved-refunding-bonds-towards-impprovements
1150057747	20231207	202312	2023	2023.9233											EDU	SCHOOL						EDU			1	046	046	04	1	7.0	10	1	10	4.62724935732648	0								2	Missouri, United States	US	USMO		38.4623	-92.302	MO	2	Missouri, United States	US	USMO		38.4623	-92.302	MO	20240106093000	https://khqa.com/news/local/hannibal-school-district-hopes-to-put-recently-approved-refunding-bonds-towards-impprovements
1150057748	20231207	202312	2023	2023.9233	EDU	SCHOOL						EDU													1	040	040	04	1	1.0	10	1	10	4.62724935732648	2	Missouri, United States	US	USMO		38.4623	-92.302	MO	0								2	Missouri, United States	US	USMO		38.4623	-92.302	MO	20240106093000	https://khqa.com/news/local/hannibal-school-district-hopes-to-put-recently-approved-refunding-bonds-towards-impprovements
1150057749	20231207	202312	2023	2023.9233	EDU	SCHOOL						EDU													1	046	046	04	1	7.0	10	1	10	4.62724935732648	2	Missouri, United States	US	USMO		38.4623	-92.302	MO	0								2	Missouri, United States	US	USMO		38.4623	-92.302	MO	20240106093000	https://khqa.com/news/local/hannibal-school-district-hopes-to-put-recently-approved-refunding-bonds-towards-impprovements
1150057750	20231207	202312	2023	2023.9233	USA	COLORADO	USA								JUD	SUPREME COURT						JUD			1	0213	021	02	1	3.4	2	1	2	-6.87397708674304	2	Colorado, United States	US	USCO		39.0646	-105.327	CO	2	Colorado, United States	US	USCO		39.0646	-105.327	CO	2	Colorado, United States	US	USCO		39.0646	-105.327	CO	20240106093000	https://www.bostonglobe.com/2024/01/06/opinion/renee-graham-2024-election-fatigue/
1150057751	20231207	202312	2023	2023.9233	USA	COLORADO	USA								JUD	SUPREME COURT						JUD			1	0213	021	02	1	3.4	2	1	2	-6.87397708674304	2	Colorado, United States	US	USCO		39.0646	-105.327	CO	2	Colorado, United States	US	USCO		39.0646	-105.327	CO	2	Iowa, United States	US	USIA		42.0046	-93.214	IA	20240106093000	https://www.bostonglobe.com/2024/01/06/opinion/renee-graham-2024-election-fatigue/
