1081200868	20230114	202301	2023	2023.0384	ARG	ARGENTINA	ARG								BRAGOV	BRAZILIAN	BRA					GOV			1	043	043	04	1	2.8	6	1	6	0	4	Buenos Aires, Distrito Federal, Argentina	AR	AR07	22379	-34.5875	-58.6725	-979186	4	Itamaraty, Piauhy, Brazil	BR	BR20	18585	-4.41667	-41.4667	-660892	4	Buenos Aires, Distrito Federal, Argentina	AR	AR07	22379	-34.5875	-58.6725	-979186	20230121123000	https://en.mercopress.com/2023/01/21/lula-s-trip-to-argentina-to-include-antarctica-deal
1081200869	20230114	202301	2023	2023.0384	BRA	BRAZILIAN	BRA								ARG	ARGENTINA	ARG								1	042	042	04	1	1.9	4	1	4	0	4	Itamaraty, Piauhy, Brazil	BR	BR20	18585	-4.41667	-41.4667	-660892	4	Buenos Aires, Distrito Federal, Argentina	AR	AR07	22379	-34.5875	-58.6725	-979186	4	Buenos Aires, Distrito Federal, Argentina	AR	AR07	22379	-34.5875	-58.6725	-979186	20230121123000	https://en.mercopress.com/2023/01/21/lula-s-trip-to-argentina-to-include-antarctica-deal
1081200870	20230114	202301	2023	2023.0384	BRAGOV	BRAZILIAN	BRA					GOV			ARG	ARGENTINA	ARG								1	042	042	04	1	1.9	6	1	6	0	4	Itamaraty, Piauhy, Brazil	BR	BR20	18585	-4.41667	-41.4667	-660892	4	Buenos Aires, Distrito Federal, Argentina	AR	AR07	22379	-34.5875	-58.6725	-979186	4	Buenos Aires, Distrito Federal, Argentina	AR	AR07	22379	-34.5875	-58.6725	-979186	20230121123000	https://en.mercopress.com/2023/01/21/lula-s-trip-to-argentina-to-include-antarctica-deal
1081200871	20230114	202301	2023	2023.0384	GOV	FOREIGN MINIST						GOV			SWE	SWEDEN	SWE								0	040	040	04	1	1.0	5	1	5	-5.82278481012659	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	4	Stockholm, Stockholm, Sweden	SW	SW26	26170	59.3333	18.05	-2524279	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	20230121123000	https://www.tellerreport.com/news/2023-01-21-anti-turkish-protest-in-stockholm-angers-ankara.SyefEbBFss.html
1081200872	20230114	202301	2023	2023.0384	GOV	FOREIGN MINIST						GOV			TUR	TURKEY	TUR								0	040	040	04	1	1.0	1	1	1	-5.82278481012659	4	Stockholm, Stockholm, Sweden	SW	SW26	26170	59.3333	18.05	-2524279	4	Stockholm, Stockholm, Sweden	SW	SW26	26170	59.3333	18.05	-2524279	4	Stockholm, Stockholm, Sweden	SW	SW26	26170	59.3333	18.05	-2524279	20230121123000	https://www.tellerreport.com/news/2023-01-21-anti-turkish-protest-in-stockholm-angers-ankara.SyefEbBFss.html
1081200873	20230114	202301	2023	2023.0384	GOV	FOREIGN MINIST						GOV			TUR	ANKARA	TUR								0	040	040	04	1	1.0	3	1	3	-5.82278481012659	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	20230121123000	https://www.tellerreport.com/news/2023-01-21-anti-turkish-protest-in-stockholm-angers-ankara.SyefEbBFss.html
1081200874	20230114	202301	2023	2023.0384	IGOUNO	UNITED NATIONS		UNO				IGO			CVL	CIVILIAN						CVL			0	138	138	13	3	-7.0	10	1	10	-4.75319926873858	4	Tougouri, Region du Centre-Nord, Burkina Faso	UV	UV83	154455	13.3164	-0.5225	-1724615	4	Tougouri, Region du Centre-Nord, Burkina Faso	UV	UV83	154455	13.3164	-0.5225	-1724615	4	Tougouri, Region du Centre-Nord, Burkina Faso	UV	UV83	154455	13.3164	-0.5225	-1724615	20230121123000	https://www.rfi.fr/en/africa/20230121-protesters-in-burkina-faso-call-for-france-s-ambassador-to-leave-sahel-jihadist-diplomacy-tension
1081200875	20230120	202301	2023	2023.0548	FJI	FIJI	FJI																		1	014	014	01	1	0.0	8	1	4	-3.90243902439025	1	Fiji	FJ	FJ		-18	178	FJ	0								1	Fiji	FJ	FJ		-18	178	FJ	20230121123000	https://www.fijitimes.com/soe-out-of-office-president-suspends-saneem-on-cocs-advice/
1081200876	20230120	202301	2023	2023.0548	FJIGOV	FIJI	FJI					GOV			FJI	FIJI	FJI								1	010	010	01	1	0.0	2	1	2	-3.90243902439025	1	Fiji	FJ	FJ		-18	178	FJ	1	Fiji	FJ	FJ		-18	178	FJ	1	Fiji	FJ	FJ		-18	178	FJ	20230121123000	https://www.fijitimes.com/soe-out-of-office-president-suspends-saneem-on-cocs-advice/
1081200877	20230120	202301	2023	2023.0548	GOV	ATTORNEY GENERAL						GOV													1	010	010	01	1	0.0	6	1	6	-3.90243902439025	1	Fiji	FJ	FJ		-18	178	FJ	0								1	Fiji	FJ	FJ		-18	178	FJ	20230121123000	https://www.fijitimes.com/soe-out-of-office-president-suspends-saneem-on-cocs-advice/
1081200878	20230120	202301	2023	2023.0548	GOV	ATTORNEY GENERAL						GOV			FJI	FIJI	FJI								1	010	010	01	1	0.0	2	1	2	-3.90243902439025	1	Fiji	FJ	FJ		-18	178	FJ	1	Fiji	FJ	FJ		-18	178	FJ	1	Fiji	FJ	FJ		-18	178	FJ	20230121123000	https://www.fijitimes.com/soe-out-of-office-president-suspends-saneem-on-cocs-advice/
1081200879	20230121	202301	2023	2023.0575											ARG	BUENOS AIRES	ARG								0	036	036	03	1	4.0	3	1	3	0	0								4	Buenos Aires, Distrito Federal, Argentina	AR	AR07	22379	-34.5875	-58.6725	-979186	4	Montevideo, Montevideo, Uruguay	UY	UY10	22379	-34.8581	-56.1708	-907764	20230121123000	https://en.mercopress.com/2023/01/21/lula-s-trip-to-argentina-to-include-antarctica-deal
1081200880	20230121	202301	2023	2023.0575											ARG	ARGENTINA	ARG								1	042	042	04	1	1.9	2	1	2	0	0								4	Buenos Aires, Distrito Federal, Argentina	AR	AR07	22379	-34.5875	-58.6725	-979186	1	Antarctica	AY	AY		-85.6221	32.3438	AY	20230121123000	https://en.mercopress.com/2023/01/21/lula-s-trip-to-argentina-to-include-antarctica-deal
1081200881	20230121	202301	2023	2023.0575											ARG	ARGENTINA	ARG								0	100	100	10	3	-5.0	2	1	2	0	0								4	Montevideo, Montevideo, Uruguay	UY	UY10	22379	-34.8581	-56.1708	-907764	4	Montevideo, Montevideo, Uruguay	UY	UY10	22379	-34.8581	-56.1708	-907764	20230121123000	https://en.mercopress.com/2023/01/21/lula-s-trip-to-argentina-to-include-antarctica-deal
1081200882	20230121	202301	2023	2023.0575											ARG	ARGENTINA	ARG								0	100	100	10	3	-5.0	8	1	8	0	0								4	Buenos Aires, Distrito Federal, Argentina	AR	AR07	22379	-34.5875	-58.6725	-979186	4	Montevideo, Montevideo, Uruguay	UY	UY10	22379	-34.8581	-56.1708	-907764	20230121123000	https://en.mercopress.com/2023/01/21/lula-s-trip-to-argentina-to-include-antarctica-deal
1081200883	20230121	202301	2023	2023.0575											BRA	BRAZIL	BRA								1	042	042	04	1	1.9	10	1	10	0	0								4	Itamaraty, Piauhy, Brazil	BR	BR20	18585	-4.41667	-41.4667	-660892	4	Itamaraty, Piauhy, Brazil	BR	BR20	18585	-4.41667	-41.4667	-660892	20230121123000	https://en.mercopress.com/2023/01/21/lula-s-trip-to-argentina-to-include-antarctica-deal
1081200884	20230121	202301	2023	2023.0575											BRB	BARBADOS	BRB								1	036	036	03	1	4.0	10	1	10	3.125	0								1	Barbados	BB	BB		13.166667	-59.533333	BB	1	Barbados	BB	BB		13.166667	-59.533333	BB	20230121123000	https://www.nationnews.com/2023/01/21/barbados-host-chta-travel-marketplace/
1081200885	20230121	202301	2023	2023.0575											BRB	BARBADOS	BRB								1	042	042	04	1	1.9	20	1	10	3.125	0								1	Barbados	BB	BB		13.166667	-59.533333	BB	1	Barbados	BB	BB		13.166667	-59.533333	BB	20230121123000	https://www.nationnews.com/2023/01/21/barbados-host-chta-travel-marketplace/
1081200886	20230121	202301	2023	2023.0575											BUS	COMPANY						BUS			0	010	010	01	1	0.0	5	1	5	2.35585864848109	0								1	Colombia	CO	CO		4	-72	CO	1	Colombia	CO	CO		4	-72	CO	20230121123000	https://news.yahoo.com/stayed-castle-first-time-wasnt-110200240.html
1081200887	20230121	202301	2023	2023.0575											BUS	INVESTOR						BUS			1	020	020	02	1	3.0	4	1	4	-0.83102493074792	0								4	Bihar, Bihar, India	IN	IN34	17615	25.1833	85.5167	-2091797	4	Bihar, Bihar, India	IN	IN34	17615	25.1833	85.5167	-2091797	20230121123000	https://www.desimartini.com/shows/tv/shark-tank-india-2-namita-thapar-shuts-the-troll-slamming-her-for-expertise-why-should-i-be-ashamed-to-accept-that/b76b1d6b15715/
1081200888	20230121	202301	2023	2023.0575											BUS	INVESTOR						BUS			1	040	040	04	1	1.0	2	1	2	2.20125786163522	0								5	Uttar Pradesh, Uttar Pradesh, India	IN	IN36	17938	27.25	80.75	-2113996	5	Uttar Pradesh, Uttar Pradesh, India	IN	IN36	17938	27.25	80.75	-2113996	20230121123000	https://www.bignewsnetwork.com/news/273408086/g-20-cm-yogi-showcasing-cultural-heritage-of-uttar-pradesh-to-guests
1081200889	20230121	202301	2023	2023.0575											BUS	INVESTOR						BUS			1	043	043	04	1	2.8	1	1	1	0.272479564032697	0								4	Philippine, Benguet, Philippines	RP	RP10	24213	16.45	120.55	-2445611	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20230121123000	https://www.philippinetimes.com/news/273407375/ipas-vow-to-realize-investment-pledges-from-pbbm-trips
1081200890	20230121	202301	2023	2023.0575											BUS	BUSINESS						BUS			1	043	043	04	1	2.8	15	1	10	-2.73159144893112	0								4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	20230121123000	https://www.khaleejtimes.com/business/important-insights-from-mofs-corporate-tax-awareness-session
1081200891	20230121	202301	2023	2023.0575											BUS	COMPANY						BUS			0	051	051	05	1	3.4	5	1	5	2.35585864848109	0								1	Colombia	CO	CO		4	-72	CO	1	Colombia	CO	CO		4	-72	CO	20230121123000	https://news.yahoo.com/stayed-castle-first-time-wasnt-110200240.html
1081200892	20230121	202301	2023	2023.0575											CHN	CHINA	CHN								0	130	130	13	3	-4.4	2	1	2	-1.28865979381443	0								4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20230121123000	https://www.manilatimes.net/2023/01/21/news/world/envoy-taiwan-learning-from-ukraine-war/1875251
1081200893	20230121	202301	2023	2023.0575											COP	POLICE						COP			1	043	043	04	1	2.8	10	1	10	-2.67379679144385	0								4	Hyderabad, Andhra Pradesh, India	IN	IN02	17564	17.3753	78.4744	-2097701	4	Telangana, Andhra Pradesh, India	IN	IN02	17568	18	79.5	-2112824	20230121123000	https://www.prokerala.com/news/articles/a1383856.html
1081200894	20230121	202301	2023	2023.0575											COP	POLICE						COP			1	0841	084	08	2	7.0	5	2	5	-0.632165605095544	0								4	Bagdogra, West Bengal, India	IN	IN28	17948	26.7	88.3167	-2089610	4	Bagdogra, West Bengal, India	IN	IN28	17948	26.7	88.3167	-2089610	20230121123000	https://www.prokerala.com/news/articles/a1383855.html
1081200895	20230121	202301	2023	2023.0575											COP	POLICE						COP			1	0841	084	08	2	7.0	3	2	3	-0.628980891719747	0								4	Bagdogra, West Bengal, India	IN	IN28	17948	26.7	88.3167	-2089610	4	Lachung, India (general), India	IN	IN00	17862	27.7	88.75	-2102220	20230121123000	https://menafn.com/1105459908/US-Citizen-With-Chinese-Satellite-Phone-Held-At-Bagdogra-Airport
1081200896	20230121	202301	2023	2023.0575											COP	POLICE						COP			1	0841	084	08	2	7.0	12	2	12	-0.63097133757962	0								4	Lachung, India (general), India	IN	IN00	17862	27.7	88.75	-2102220	4	Lachung, India (general), India	IN	IN00	17862	27.7	88.75	-2102220	20230121123000	https://menafn.com/1105459908/US-Citizen-With-Chinese-Satellite-Phone-Held-At-Bagdogra-Airport
1081200897	20230121	202301	2023	2023.0575											COP	POLICE						COP			0	122	122	12	3	-4.0	10	1	10	-3.23679727427598	0								0								0								20230121123000	https://www.falmouthpacket.co.uk/news/23266988.police-distracted-g7-cornwall-keyham-shooting-inquest-told/
1081200898	20230121	202301	2023	2023.0575											COP	POLICE						COP			0	173	173	17	4	-5.0	2	1	2	-8	0								4	Kurdistan, Khuzestan, Iran	IR	IR15	41008	30.6693	50.2055	-3072067	4	Kurdistan, Khuzestan, Iran	IR	IR15	41008	30.6693	50.2055	-3072067	20230121123000	https://www.al-monitor.com/originals/2023/01/fleeing-repression-irans-kurdish-activists-struggle-find-refuge-iraq
1081200899	20230121	202301	2023	2023.0575											COP	POLICE						COP			0	173	173	17	4	-5.0	8	1	8	-8	0								4	Erbil, Liwa' Irbil, Iraq	IZ	IZ11	123554	36.1926	44.0106	-3106433	4	Erbil, Liwa' Irbil, Iraq	IZ	IZ11	123554	36.1926	44.0106	-3106433	20230121123000	https://www.al-monitor.com/originals/2023/01/fleeing-repression-irans-kurdish-activists-struggle-find-refuge-iraq
1081200900	20230121	202301	2023	2023.0575											CVL	COMMUNITY						CVL			0	036	036	03	1	4.0	10	1	10	1.05820105820106	0								3	Elkhart, Indiana, United States	US	USIN	IN039	41.682	-85.9767	434079	3	Elkhart, Indiana, United States	US	USIN	IN039	41.682	-85.9767	434079	20230121123000	https://www.goshennews.com/news/local-briefs-jan-21-2023/article_053e8dc8-98f2-11ed-a13f-9b47ca9d51c0.html
1081200901	20230121	202301	2023	2023.0575											CVLEDU	COMMUNITY						CVL	EDU		0	036	036	03	1	4.0	4	1	4	1.05820105820106	0								3	Elkhart, Indiana, United States	US	USIN	IN039	41.682	-85.9767	434079	3	Elkhart, Indiana, United States	US	USIN	IN039	41.682	-85.9767	434079	20230121123000	https://www.goshennews.com/news/local-briefs-jan-21-2023/article_053e8dc8-98f2-11ed-a13f-9b47ca9d51c0.html
1081200902	20230121	202301	2023	2023.0575											EDU	COLLEGE						EDU			0	042	042	04	1	1.9	50	5	50	1.36892539356605	0								2	Colorado, United States	US	USCO		39.0646	-105.327	CO	2	Colorado, United States	US	USCO		39.0646	-105.327	CO	20230121123000	https://www.kwbu.org/latest-from-npr/2023-01-21/renee-rapp-wants-to-burn-out-by-30-and-its-all-going-perfectly-to-plan
1081200903	20230121	202301	2023	2023.0575											EDU	SCHOOL						EDU			1	046	046	04	1	7.0	10	1	10	0	0								4	Midi, France (general), France	FR	FR00	16286	44	3.75	-1451455	4	Midi, France (general), France	FR	FR00	16286	44	3.75	-1451455	20230121123000	https://www.lebanondemocrat.com/lebanon/worlds-oldest-known-person-a-french-nun-dies-at-118/article_6068439b-43d4-5360-8fe5-44cef13cea4f.html
1081200904	20230121	202301	2023	2023.0575											ELI	ACTOR						ELI			1	040	040	04	1	1.0	4	1	4	2.08333333333333	0								1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20230121123000	https://www.mirror.co.uk/3am/us-celebrity-news/hilary-swank-48-shows-huge-29013567
1081200905	20230121	202301	2023	2023.0575											FRA	FRANCE	FRA								0	042	042	04	1	1.9	2	1	2	-0.62160062160062	0								4	Vaucluse, Provence-Alpes-Côd'Azur, France	FR	FRB8	16325	43.9167	5.13333	-1427296	4	Vaucluse, Provence-Alpes-Côd'Azur, France	FR	FRB8	16325	43.9167	5.13333	-1427296	20230121123000	https://www.cbc.ca/news/canada/new-brunswick/unbsj-professor-digs-stone-tools-1.6718059
1081200906	20230121	202301	2023	2023.0575											FRA	FRANCE	FRA								0	043	043	04	1	2.8	10	1	10	-0.62160062160062	0								4	Vaucluse, Provence-Alpes-Côd'Azur, France	FR	FRB8	16325	43.9167	5.13333	-1427296	4	Vaucluse, Provence-Alpes-Côd'Azur, France	FR	FRB8	16325	43.9167	5.13333	-1427296	20230121123000	https://www.cbc.ca/news/canada/new-brunswick/unbsj-professor-digs-stone-tools-1.6718059
1081200907	20230121	202301	2023	2023.0575											GBR	BRITAIN	GBR								1	026	026	02	1	4.0	3	1	3	4.10557184750733	0								4	Newquay, Cornwall, United Kingdom	UK	UKC6	40101	50.4167	-5.08333	-2604050	4	Newquay, Cornwall, United Kingdom	UK	UKC6	40101	50.4167	-5.08333	-2604050	20230121123000	https://www.falmouthpacket.co.uk/news/23266796.richard-madeley-wants-millionaire-cornwall-air-ambulance/
1081200908	20230121	202301	2023	2023.0575											GBR	UNITED KINGDOM	GBR								1	043	043	04	1	2.8	4	1	4	4.10557184750733	0								4	Newquay, Cornwall, United Kingdom	UK	UKC6	40101	50.4167	-5.08333	-2604050	4	Newquay, Cornwall, United Kingdom	UK	UKC6	40101	50.4167	-5.08333	-2604050	20230121123000	https://www.falmouthpacket.co.uk/news/23266796.richard-madeley-wants-millionaire-cornwall-air-ambulance/
1081200909	20230121	202301	2023	2023.0575											GBR	BRITAIN	GBR								1	051	051	05	1	3.4	3	1	3	4.10557184750733	0								4	Newquay, Cornwall, United Kingdom	UK	UKC6	40101	50.4167	-5.08333	-2604050	4	Newquay, Cornwall, United Kingdom	UK	UKC6	40101	50.4167	-5.08333	-2604050	20230121123000	https://www.falmouthpacket.co.uk/news/23266796.richard-madeley-wants-millionaire-cornwall-air-ambulance/
1081200910	20230121	202301	2023	2023.0575											GOV	GOVERNMENT						GOV			1	020	020	02	1	3.0	3	1	3	-1.29240710823909	0								1	Costa Rica	CS	CS		10	-84	CS	1	Costa Rica	CS	CS		10	-84	CS	20230121123000	https://www.telegraph.co.uk/theatre/what-to-see/actress-jenna-coleman-talks-doctor-who-serpent-victoria-ahead/
1081200911	20230121	202301	2023	2023.0575											GOV	ADMINISTRATION						GOV			0	036	036	03	1	4.0	5	1	5	1.05820105820106	0								2	Indiana, United States	US	USIN		39.8647	-86.2604	IN	2	Indiana, United States	US	USIN		39.8647	-86.2604	IN	20230121123000	https://www.goshennews.com/news/local-briefs-jan-21-2023/article_053e8dc8-98f2-11ed-a13f-9b47ca9d51c0.html
1081200912	20230121	202301	2023	2023.0575											GOV	GOVERNMENT						GOV			1	042	042	04	1	1.9	10	1	10	-3.6	0								2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	20230121123000	https://www.telegraph.co.uk/news/2023/01/21/botched-law-could-end-vanishing-channel-boats-freedoms/
1081200913	20230121	202301	2023	2023.0575											GOV	CHIEF MINISTER						GOV			1	043	043	04	1	2.8	2	1	2	1.7825311942959	0								4	Telangana, Andhra Pradesh, India	IN	IN02	17568	18	79.5	-2112824	4	Telangana, Andhra Pradesh, India	IN	IN02	17568	18	79.5	-2112824	20230121123000	https://www.prokerala.com/news/articles/a1383860.html
1081200914	20230121	202301	2023	2023.0575											GOV	AMBASSADOR						GOV			1	043	043	04	1	2.8	1	1	1	4.10557184750733	0								4	Newquay, Cornwall, United Kingdom	UK	UKC6	40101	50.4167	-5.08333	-2604050	4	Newquay, Cornwall, United Kingdom	UK	UKC6	40101	50.4167	-5.08333	-2604050	20230121123000	https://www.falmouthpacket.co.uk/news/23266796.richard-madeley-wants-millionaire-cornwall-air-ambulance/
1081200915	20230121	202301	2023	2023.0575											GOV	CHIEF MINISTER						GOV			0	190	190	19	4	-10.0	2	1	2	-1.05932203389831	0								4	Bengaluru, Karnataka, India	IN	IN19	70159	12.9833	77.5833	-2090174	4	Bengaluru, Karnataka, India	IN	IN19	70159	12.9833	77.5833	-2090174	20230121123000	https://www.prokerala.com/news/articles/a1383864.html
1081200916	20230121	202301	2023	2023.0575											GOV	GOVERNOR						GOV			0	190	190	19	4	-10.0	3	1	3	-10.8504398826979	0								4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	20230121123000	https://www.nytimes.com/2023/01/21/world/asia/pakistan-blasphemy-laws.html
1081200917	20230121	202301	2023	2023.0575											IND	AMRITSAR	IND								0	010	010	01	1	0.0	1	1	1	-1.21359223300971	0								4	Amritsar, Punjab, India	IN	IN23	17821	31.6331	74.8656	-2088794	4	Amritsar, Punjab, India	IN	IN23	17821	31.6331	74.8656	-2088794	20230121123000	https://www.bignewsnetwork.com/news/273408084/scoot-airlines-responds-to-dgca-notice-provide-relief-options-for-passengers-left-behind-at-amritsar-airport
1081200918	20230121	202301	2023	2023.0575											IND	KARNATAKA	IND								1	036	036	03	1	4.0	8	1	8	-1.05932203389831	0								4	Bengaluru, Karnataka, India	IN	IN19	70159	12.9833	77.5833	-2090174	4	Bengaluru, Karnataka, India	IN	IN19	70159	12.9833	77.5833	-2090174	20230121123000	https://www.prokerala.com/news/articles/a1383864.html
1081200919	20230121	202301	2023	2023.0575											IND	KARNATAKA	IND								0	190	190	19	4	-10.0	2	1	2	-1.05932203389831	0								4	Bengaluru, Karnataka, India	IN	IN19	70159	12.9833	77.5833	-2090174	4	Bengaluru, Karnataka, India	IN	IN19	70159	12.9833	77.5833	-2090174	20230121123000	https://www.prokerala.com/news/articles/a1383864.html
1081200920	20230121	202301	2023	2023.0575											ITA	ITALY	ITA								1	042	042	04	1	1.9	10	1	10	2.35585864848109	0								1	Colombia	CO	CO		4	-72	CO	1	Colombia	CO	CO		4	-72	CO	20230121123000	https://news.yahoo.com/stayed-castle-first-time-wasnt-110200240.html
1081200921	20230121	202301	2023	2023.0575											JOR	JORDAN	JOR								0	043	043	04	1	2.8	5	1	5	1.94508009153318	0								4	Mount Nebo, Jordan (general), Jordan	JO	JO00	65745	31.7623	35.7462	-973061	4	Mount Nebo, Jordan (general), Jordan	JO	JO00	65745	31.7623	35.7462	-973061	20230121123000	https://www.anglocelt.ie/2023/01/21/bishop-of-kilmore-on-pastoral-visit-to-jordan/
1081200922	20230121	202301	2023	2023.0575											JUD	JUDGE						JUD			0	130	130	13	3	-4.4	10	1	10	-6.69371196754564	0								0								0								20230121123000	https://www.timesandstar.co.uk/news/23263625.i-must-protect-police-officers-judge-tells-workington-woman/
1081200923	20230121	202301	2023	2023.0575											LEG	LAWMAKER						LEG			0	0253	025	02	1	-0.3	4	1	4	0.96308186195827	0								3	Jonesboro, Florida, United States	US	USFL	FL029	29.7111	-83.2971	295382	3	Jonesboro, Florida, United States	US	USFL	FL029	29.7111	-83.2971	295382	20230121123000	https://insurancenewsnet.com/oarticle/lawmakers-raise-questions-about-proposed-insurance-fix
1081200924	20230121	202301	2023	2023.0575											LEG	LAWMAKER						LEG			0	0253	025	02	1	-0.3	6	1	6	0.96308186195827	0								2	Louisiana, United States	US	USLA		31.1801	-91.8749	LA	2	Louisiana, United States	US	USLA		31.1801	-91.8749	LA	20230121123000	https://insurancenewsnet.com/oarticle/lawmakers-raise-questions-about-proposed-insurance-fix
1081200925	20230121	202301	2023	2023.0575											LEG	LAWMAKER						LEG			0	042	042	04	1	1.9	2	1	2	0.96308186195827	0								3	Jonesboro, Florida, United States	US	USFL	FL029	29.7111	-83.2971	295382	2	Louisiana, United States	US	USLA		31.1801	-91.8749	LA	20230121123000	https://insurancenewsnet.com/oarticle/lawmakers-raise-questions-about-proposed-insurance-fix
