1082617122	20220131	202201	2022	2022.0849											CAN	CANADA	CAN								1	036	036	03	1	4.0	2	1	2	0	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20230131000000	https://929nin.com/ice-spice-drake-backoutsideboyz-diss/
1082617123	20220131	202201	2022	2022.0849											USA	MIAMI	USA								1	045	045	04	1	5.0	24	1	24	2.67857142857143	0								3	Miami, Florida, United States	US	USFL	FL086	25.7743	-80.1937	295004	3	Miami, Florida, United States	US	USFL	FL086	25.7743	-80.1937	295004	20230131000000	https://beat1053.iheart.com/content/2023-01-30-charlamagne-tha-god-believes-kodak-black-is-the-goat/
1082617124	20220131	202201	2022	2022.0849	CAN	ALBERTA	CAN								CANGOV	CANADA	CAN					GOV			1	190	190	19	4	-10.0	2	1	2	-0.94073377234243	4	Calgary, Alberta, Canada	CA	CA01	12549	51.0833	-114.083	-561990	4	Calgary, Alberta, Canada	CA	CA01	12549	51.0833	-114.083	-561990	4	Calgary, Alberta, Canada	CA	CA01	12549	51.0833	-114.083	-561990	20230131000000	https://www.torontotelegraph.com/news/273458306/what-the-free-alberta-strategy-gets-wrong-about-canadas-banking-system
1082617125	20220131	202201	2022	2022.0849	CAN	ALBERTA	CAN								GOV	PREMIER						GOV			1	190	190	19	4	-10.0	8	1	8	-0.94073377234243	4	Calgary, Alberta, Canada	CA	CA01	12549	51.0833	-114.083	-561990	4	Calgary, Alberta, Canada	CA	CA01	12549	51.0833	-114.083	-561990	4	Calgary, Alberta, Canada	CA	CA01	12549	51.0833	-114.083	-561990	20230131000000	https://www.torontotelegraph.com/news/273458306/what-the-free-alberta-strategy-gets-wrong-about-canadas-banking-system
1082617126	20220131	202201	2022	2022.0849	CANGOV	CANADA	CAN					GOV			CAN	ALBERTA	CAN								1	190	190	19	4	-10.0	2	1	2	-0.94073377234243	4	Calgary, Alberta, Canada	CA	CA01	12549	51.0833	-114.083	-561990	4	Calgary, Alberta, Canada	CA	CA01	12549	51.0833	-114.083	-561990	4	Calgary, Alberta, Canada	CA	CA01	12549	51.0833	-114.083	-561990	20230131000000	https://www.torontotelegraph.com/news/273458306/what-the-free-alberta-strategy-gets-wrong-about-canadas-banking-system
1082617127	20220131	202201	2022	2022.0849	CHN	CHINA	CHN								USAGOV	JOE BIDEN	USA					GOV			0	013	013	01	1	0.4	1	1	1	-0.75705437026841	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20230131000000	https://www.stripes.com/theaters/asia_pacific/2023-01-30/military-access-philippine-bases-8941926.html
1082617128	20220131	202201	2022	2022.0849	CHN	CHINA	CHN								USAGOV	JOE BIDEN	USA					GOV			0	013	013	01	1	0.4	1	1	1	-0.75705437026841	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Philippine, Benguet, Philippines	RP	RP10	24213	16.45	120.55	-2445611	4	Philippine, Benguet, Philippines	RP	RP10	24213	16.45	120.55	-2445611	20230131000000	https://www.stripes.com/theaters/asia_pacific/2023-01-30/military-access-philippine-bases-8941926.html
1082617129	20220131	202201	2022	2022.0849	CHN	CHINA	CHN								USAGOV	JOE BIDEN	USA					GOV			0	013	013	01	1	0.4	1	1	1	-0.75705437026841	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	1	Japan	JA	JA		36	138	JA	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20230131000000	https://www.stripes.com/theaters/asia_pacific/2023-01-30/military-access-philippine-bases-8941926.html
1082617130	20220131	202201	2022	2022.0849	CHN	CHINA	CHN								USAGOV	JOE BIDEN	USA					GOV			0	013	013	01	1	0.4	1	1	1	-0.75705437026841	1	Japan	JA	JA		36	138	JA	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Philippine, Benguet, Philippines	RP	RP10	24213	16.45	120.55	-2445611	20230131000000	https://www.stripes.com/theaters/asia_pacific/2023-01-30/military-access-philippine-bases-8941926.html
1082617131	20220131	202201	2022	2022.0849	CHN	CHINA	CHN								USAGOV	JOE BIDEN	USA					GOV			0	051	051	05	1	3.4	2	1	2	-0.75705437026841	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20230131000000	https://www.stripes.com/theaters/asia_pacific/2023-01-30/military-access-philippine-bases-8941926.html
