1078790877	20220105	202201	2022	2022.0137	JUD	DISTRICT COURT						JUD													1	110	110	11	3	-2.0	10	1	10	-2.4024024024024	2	Iowa, United States	US	USIA		42.0046	-93.214	IA	0								2	Iowa, United States	US	USIA		42.0046	-93.214	IA	20230105023000	https://www.amestrib.com/story/news/crime-and-courts/2023/01/04/iowa-church-wages-4-year-fight-with-irs-over-hallucinogenic-drug-use/69777762007/
1078790878	20220105	202201	2022	2022.0137	LEG	LAWMAKER						LEG													1	111	111	11	3	-2.0	8	1	8	-1.70132325141777	2	Kentucky, United States	US	USKY		37.669	-84.6514	KY	0								2	Kentucky, United States	US	USKY		37.669	-84.6514	KY	20230105023000	https://www.wkms.org/government-politics/2023-01-04/ky-secretary-of-state-michael-adams-calls-for-more-voting-locations
1078790879	20220105	202201	2022	2022.0137	USA	UNITED STATES	USA								LEG	LAWMAKER						LEG			1	111	111	11	3	-2.0	2	1	2	-1.70132325141777	2	Kentucky, United States	US	USKY		37.669	-84.6514	KY	2	Kentucky, United States	US	USKY		37.669	-84.6514	KY	2	Kentucky, United States	US	USKY		37.669	-84.6514	KY	20230105023000	https://www.wkms.org/government-politics/2023-01-04/ky-secretary-of-state-michael-adams-calls-for-more-voting-locations
1078790880	20221229	202212	2022	2022.9836											NZL	NEW ZEALAND	NZL								1	043	043	04	1	2.8	6	1	6	-1.73697270471464	0								4	North Island, New Zealand (general), New Zealand	NZ	NZ00	22390	-39	176	-1514775	4	North Island, New Zealand (general), New Zealand	NZ	NZ00	22390	-39	176	-1514775	20230105023000	http://www.voxy.co.nz/national/5/411716
1078790881	20221229	202212	2022	2022.9836											TWN	TAIWAN	TWN								1	046	046	04	1	7.0	10	1	10	0	0								4	Taipei, T'ai-pei, Taiwan	TW	TW03	13277	25.0478	121.532	-2637882	4	Taipei, T'ai-pei, Taiwan	TW	TW03	13277	25.0478	121.532	-2637882	20230105023000	https://www.scmp.com/news/china/article/3205618/us-taiwan-resume-person-trade-talks-next-week-taipei
1078790882	20221229	202212	2022	2022.9836	BUS	AIRLINE						BUS			USA	AMERICAN	USA								0	160	160	16	4	-4.0	2	1	2	-5.88235294117647	3	South Bend, Indiana, United States	US	USIN	IN141	41.6834	-86.25	452796	3	South Bend, Indiana, United States	US	USIN		41.6834	-86.25	452796	3	South Bend, Indiana, United States	US	USIN		41.6834	-86.25	452796	20230105023000	https://www.foxnews.com/politics/buttigieg-battered-crises-first-two-years-transportation-secretary-prime-example-failing-up
1078790883	20221229	202212	2022	2022.9836	BUS	AIRLINE						BUS			USA	AMERICAN	USA								0	160	160	16	4	-4.0	3	1	3	-5.88235294117647	2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	20230105023000	https://www.foxnews.com/politics/buttigieg-battered-crises-first-two-years-transportation-secretary-prime-example-failing-up
1078790884	20221229	202212	2022	2022.9836	NZL	NEW ZEALAND	NZL																		1	042	042	04	1	1.9	6	1	6	-1.73697270471464	4	North Island, New Zealand (general), New Zealand	NZ	NZ00	22390	-39	176	-1514775	0								4	North Island, New Zealand (general), New Zealand	NZ	NZ00	22390	-39	176	-1514775	20230105023000	http://www.voxy.co.nz/national/5/411716
1078790885	20221229	202212	2022	2022.9836	SYR	SYRIA	SYR								TUR	TURKEY	TUR								1	046	046	04	1	7.0	2	1	2	-7.2	1	Turkey	TU	TU		39.059012	34.911546	TU	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20230105023000	https://www.arabherald.com/news/273316331/japanese-fighter-jets-monitor-chinese-aircraft-near-islands
1078790886	20221229	202212	2022	2022.9836	TUR	TURKEY	TUR								SYR	SYRIA	SYR								1	046	046	04	1	7.0	1	1	1	-7.2	4	Xinjiang, Jiangxi, China	CH	CH03	13167	27.7481	116.274	11065838	4	Xinjiang, Jiangxi, China	CH	CH03	13167	27.7481	116.274	11065838	4	Xinjiang, Jiangxi, China	CH	CH03	13167	27.7481	116.274	11065838	20230105023000	https://www.arabherald.com/news/273316331/japanese-fighter-jets-monitor-chinese-aircraft-near-islands
1078790887	20221229	202212	2022	2022.9836	TUR	TURKEY	TUR								SYR	SYRIA	SYR								1	046	046	04	1	7.0	1	1	1	-7.2	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	1	Turkey	TU	TU		39.059012	34.911546	TU	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20230105023000	https://www.arabherald.com/news/273316331/japanese-fighter-jets-monitor-chinese-aircraft-near-islands
