1079962896	20230113	202301	2023	2023.0356											ESP	SPAIN	ESP								1	190	190	19	4	-10.0	2	1	2	1.11731843575419	0								3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	20230113030000	https://www.keranews.org/2023-01-12/fame-came-early-for-reggaeton-star-nicky-jam-and-he-admits-he-wasnt-ready-for-it
1079962897	20230113	202301	2023	2023.0356											ESP	SPAIN	ESP								1	190	190	19	4	-10.0	1	1	1	1.11731843575419	0								1	Spain	SP	SP		40	-4	SP	1	Dominican Republic	DR	DR		19	-70.666667	DR	20230113030000	https://www.keranews.org/2023-01-12/fame-came-early-for-reggaeton-star-nicky-jam-and-he-admits-he-wasnt-ready-for-it
1079962898	20230113	202301	2023	2023.0356											ESP	SPAIN	ESP								1	190	190	19	4	-10.0	1	1	1	1.11731843575419	0								1	Spain	SP	SP		40	-4	SP	1	Spain	SP	SP		40	-4	SP	20230113030000	https://www.keranews.org/2023-01-12/fame-came-early-for-reggaeton-star-nicky-jam-and-he-admits-he-wasnt-ready-for-it
1079962899	20230113	202301	2023	2023.0356											GBR	UNITED KINGDOM	GBR								1	042	042	04	1	1.9	18	1	10	0.90909090909091	0								4	Winchcombe, Gloucestershire, United Kingdom	UK	UKE6	40113	51.95	-1.96667	-2611811	4	Winchcombe, Gloucestershire, United Kingdom	UK	UKE6	40113	51.95	-1.96667	-2611811	20230113030000	https://www.europeantimes.news/de/2023/01/Bausteine-%E2%80%8B%E2%80%8Bdes-Lebens-in-Meteoriten-entdeckt%2C-der-in-England-gelandet-ist/
1079962900	20230113	202301	2023	2023.0356											GBR	SCOTLAND	GBR								1	042	042	04	1	1.9	1	1	1	3.91566265060241	0								3	Wichita, Kansas, United States	US	USKS	KS173	37.6922	-97.3375	473862	1	United Kingdom	UK	UK		54	-4	UK	20230113030000	https://www.duluthnewstribune.com/news/local/ramsay-sworn-in-as-st-louis-county-sheriff
1079962901	20230113	202301	2023	2023.0356											GBR	BRITAIN	GBR								1	046	046	04	1	7.0	10	1	10	-4.89296636085627	0								1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20230113030000	https://www.economist.com/leaders/2023/01/12/fixing-britains-health-service-means-fixing-its-family-doctors
1079962902	20230113	202301	2023	2023.0356											GOV	PRIME MINISTER						GOV			1	010	010	01	1	0.0	10	1	10	-5.99078341013825	0								4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	20230113030000	https://www.dawn.com/news/1731405/pm-vows-stern-action-against-wheat-hoarders
1079962903	20230113	202301	2023	2023.0356											GOV	MAYOR						GOV			1	020	020	02	1	3.0	5	1	5	-3.13778990450205	0								2	Kansas, United States	US	USKS		38.5111	-96.8005	KS	2	Kansas, United States	US	USKS		38.5111	-96.8005	KS	20230113030000	https://www.mdjonline.com/tribune/politics_and_government/kansas-city-approves-commission-to-study-reparations-issues-apology-to-black-community/article_5147c04f-6d16-5dcf-bc9f-319624e0be63.html
1079962904	20230113	202301	2023	2023.0356											GOV	AUTHORITIES						GOV			0	030	030	03	1	4.0	6	1	6	-0.15128593040848	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20230113030000	https://www.dawn.com/news/1731401/biden-discovery-undermines-effort-to-hold-trump-responsible-for-leaks
1079962905	20230113	202301	2023	2023.0356											GOV	PRIME MINISTER						GOV			0	036	036	03	1	4.0	6	1	6	3.00120048019207	0								1	Pakistan	PK	PK		30	70	PK	1	Pakistan	PK	PK		30	70	PK	20230113030000	https://www.thenews.com.pk/print/1029952-3bn-uae-help-for-pakistan-s-depleting-forex-reserves
1079962906	20230113	202301	2023	2023.0356											GOV	GOVERNMENT						GOV			1	040	040	04	1	1.0	8	1	8	2.14477211796247	0								4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	20230113030000	https://www.deccanherald.com/national/breaking-news-live-updates-january-13-north-korea-india-narendra-modi-ukraine-war-covid-delhi-1180543.html
1079962907	20230113	202301	2023	2023.0356											GOV	GOVERNMENT						GOV			1	040	040	04	1	1.0	2	1	2	2.14477211796247	0								4	Varanasi, Uttar Pradesh, India	IN	IN36	17943	25.3333	83	-2114217	4	Varanasi, Uttar Pradesh, India	IN	IN36	17943	25.3333	83	-2114217	20230113030000	https://www.deccanherald.com/national/breaking-news-live-updates-january-13-north-korea-india-narendra-modi-ukraine-war-covid-delhi-1180543.html
1079962908	20230113	202301	2023	2023.0356											GOV	MINIST						GOV			0	040	040	04	1	1.0	6	1	6	-0.38610038610039	0								4	Lahore, Punjab, Pakistan	PK	PK04	23677	31.5497	74.3436	-2767043	4	Lahore, Punjab, Pakistan	PK	PK04	23677	31.5497	74.3436	-2767043	20230113030000	https://www.thenews.com.pk/print/1029953-elahi-signs-summary-for-pa-dissolution-pti-sets-sights-on-punjab-interim-set-up
1079962909	20230113	202301	2023	2023.0356											GOV	CHIEF MINISTER						GOV			1	043	043	04	1	2.8	6	1	6	-3.601108033241	0								4	Bilawal, Punjab, Pakistan	PK	PK04	23668	32.7756	71.9522	-2758720	4	Bilawal, Punjab, Pakistan	PK	PK04	23668	32.7756	71.9522	-2758720	20230113030000	https://www.dawn.com/news/1731402/sindh-puts-off-lg-elections-in-karachi-and-dadu
1079962910	20230113	202301	2023	2023.0356											GOV	PRESIDENT						GOV			0	051	051	05	1	3.4	2	1	2	3.20121951219513	0								4	Munich, Bayern, Germany	GM	GM02	16532	48.15	11.5833	-1829149	4	Munich, Bayern, Germany	GM	GM02	16532	48.15	11.5833	-1829149	20230113030000	https://www.newswiretoday.com/news/179195/
1079962911	20230113	202301	2023	2023.0356											GOV	GOVERNMENT						GOV			0	0841	084	08	2	7.0	6	1	6	-5.99078341013825	0								4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	20230113030000	https://www.dawn.com/news/1731405/pm-vows-stern-action-against-wheat-hoarders
1079962912	20230113	202301	2023	2023.0356											GOV	AUTHORITIES						GOV			0	0841	084	08	2	7.0	10	1	10	-15.2671755725191	0								3	San Diego, California, United States	US	USCA		32.7153	-117.157	1661377	3	San Diego, California, United States	US	USCA		32.7153	-117.157	1661377	20230113030000	https://www.cbs8.com/article/news/crime/teens-arrested-in-connection-with-fatal-lemon-grove-stabbing/509-2de3ef9e-b1f1-493e-92cc-f3af95400ef9
1079962913	20230113	202301	2023	2023.0356											GOV	GOVERNMENT						GOV			0	100	100	10	3	-5.0	10	1	10	-2.69413629160063	0								1	Afghanistan	AF	AF		33	66	AF	1	Afghanistan	AF	AF		33	66	AF	20230113030000	https://www.dawn.com/news/1731294/punjab-responsible-for-flour-crisis-in-kp-insist-dealers
1079962914	20230113	202301	2023	2023.0356											GOV	GOVERNMENT						GOV			0	1053	105	10	3	-5.0	6	1	6	-5.99078341013825	0								4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	20230113030000	https://www.dawn.com/news/1731405/pm-vows-stern-action-against-wheat-hoarders
1079962915	20230113	202301	2023	2023.0356											GOV	GOVERNMENT						GOV			1	111	111	11	3	-2.0	5	1	5	-8.2051282051282	0								4	Lashkar, Madhya Pradesh, India	IN	IN35	17734	26.1967	78.1514	-2102529	4	Lashkar, Madhya Pradesh, India	IN	IN35	17734	26.1967	78.1514	-2102529	20230113030000	https://www.tribuneindia.com/news/j-k/terror-associate-arrested-for-threatening-migrants-in-valley-469908
1079962916	20230113	202301	2023	2023.0356											GOV	GOVERNOR						GOV			1	131	131	13	3	-5.8	5	1	5	-0.38610038610039	0								4	Lahore, Punjab, Pakistan	PK	PK04	23677	31.5497	74.3436	-2767043	4	Lahore, Punjab, Pakistan	PK	PK04	23677	31.5497	74.3436	-2767043	20230113030000	https://www.thenews.com.pk/print/1029953-elahi-signs-summary-for-pa-dissolution-pti-sets-sights-on-punjab-interim-set-up
1079962917	20230113	202301	2023	2023.0356											GOVMED	PREMIER						GOV	MED		1	020	020	02	1	3.0	20	1	20	2.17391304347826	0								1	India	IN	IN		20	77	IN	1	India	IN	IN		20	77	IN	20230113030000	https://www.ptinews.com/news/international/we-count-a-lot-on-indias-g-20-leadership-imf-md/3/493473.html
1079962918	20230113	202301	2023	2023.0356											HLH	HEALTH CARE PROVIDER						HLH			0	100	100	10	3	-5.0	6	1	6	-5.48148148148148	0								2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20230113030000	https://www.tucsonsentinel.com/nationworld/report/011223_house_abortion_measures/us-house-republicans-push-through-two-anti-abortion-measures-first-work-week/
1079962919	20230113	202301	2023	2023.0356											HTI	PORT AU PRINCE	HTI								1	043	043	04	1	2.8	3	1	3	0.24691358024692	0								4	Port-Au-Prince, Ouest, Haiti	HA	HA11	17198	18.5392	-72.335	-70311	4	Port-Au-Prince, Ouest, Haiti	HA	HA11	17198	18.5392	-72.335	-70311	20230113030000	https://www.ctvnews.ca/politics/canada-delivers-more-armoured-vehicles-to-haiti-as-police-try-to-push-back-gangs-1.6226789
1079962920	20230113	202301	2023	2023.0356											HTI	HAITIAN	HTI								0	051	051	05	1	3.4	8	1	8	0.24691358024692	0								4	Port-Au-Prince, Ouest, Haiti	HA	HA11	17198	18.5392	-72.335	-70311	4	Port-Au-Prince, Ouest, Haiti	HA	HA11	17198	18.5392	-72.335	-70311	20230113030000	https://www.ctvnews.ca/politics/canada-delivers-more-armoured-vehicles-to-haiti-as-police-try-to-push-back-gangs-1.6226789
1079962921	20230113	202301	2023	2023.0356											IDN	BALI	IDN								1	042	042	04	1	1.9	28	1	10	3.54191263282172	0								4	Bali, Jawa Timur, Indonesia	ID	ID08	18585	-7.1046	112.337	10205777	4	Bali, Jawa Timur, Indonesia	ID	ID08	18585	-7.1046	112.337	10205777	20230113030000	https://eturbonews.com/its-time-for-bali-where-world-tourism-meets-in-2023/
1079962922	20230113	202301	2023	2023.0356											IND	DELHI	IND								0	036	036	03	1	4.0	3	1	3	-2.98210735586481	0								4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	4	Jammu, Jammu and Kashmir, India	IN	IN12	72851	32.7333	74.8667	-2098228	20230113030000	http://risingkashmir.com/hm-to-meet-rajouri-terror-victims
1079962923	20230113	202301	2023	2023.0356											IND	DELHI	IND								0	036	036	03	1	4.0	1	1	1	-2.98210735586481	0								4	Rajouri, Jammu and Kashmir, India	IN	IN12	72831	33.25	74.25	-2108702	4	Rajouri, Jammu and Kashmir, India	IN	IN12	72831	33.25	74.25	-2108702	20230113030000	http://risingkashmir.com/hm-to-meet-rajouri-terror-victims
1079962924	20230113	202301	2023	2023.0356											IRN	IRAN	IRN								0	128	128	12	3	-5.0	2	1	2	-5.24246395806029	0								4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	20230113030000	https://www.voanews.com/a/iran-media-say-british-iranian-facing-execution-had-ties-to-scientist-s-killing-/6916619.html
1079962925	20230113	202301	2023	2023.0356											ITA	MILAN	ITA								1	046	046	04	1	7.0	10	1	10	-1.81818181818182	0								4	Milan, Lombardia, Italy	IT	IT09	18363	45.4667	9.2	-121726	4	Milan, Lombardia, Italy	IT	IT09	18363	45.4667	9.2	-121726	20230113030000	https://www.dawn.com/news/1731324/ten-man-torino-knock-ac-milan-out-of-coppa-italia
1079962926	20230113	202301	2023	2023.0356											JPN	JAPAN	JPN								1	043	043	04	1	2.8	4	1	4	0	0								1	Japan	JA	JA		36	138	JA	1	Japan	JA	JA		36	138	JA	20230113030000	https://411mania.com/wrestling/aew-adam-cole-return-kept-quiet-backstage-note-mjf-promo/
1079962927	20230113	202301	2023	2023.0356											JUD	ATTORNEY						JUD			1	014	014	01	1	0.0	5	1	5	-6.09318996415771	0								1	Jordan	JO	JO		31	36	JO	1	Jordan	JO	JO		31	36	JO	20230113030000	https://www.wmur.com/article/alleged-boyfriend-of-woman-who-gave-birth-in-woods-held-on-probation-violation/42479000
1079962928	20230113	202301	2023	2023.0356											JUD	LAWYER						JUD			0	020	020	02	1	3.0	6	1	6	-6.72268907563025	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20230113030000	https://apnews.com/article/politics-legal-proceedings-donald-trump-manhattan-new-york-77599693cb38b8c3c54477901398d602
1079962929	20230113	202301	2023	2023.0356											JUD	COUNSEL						JUD			1	050	050	05	1	3.5	5	1	5	-0.93109869646182	0								0								0								20230113030000	https://www.recorder.com/Orange-Selectboard-signs-five-year-lease-for-Cheney-Street-offices-49524448
1079962930	20230113	202301	2023	2023.0356											JUD	PROSECUTOR						JUD			1	120	120	12	3	-4.0	3	1	3	-11.284046692607	0								2	Indiana, United States	US	USIN		39.8647	-86.2604	IN	2	Indiana, United States	US	USIN		39.8647	-86.2604	IN	20230113030000	https://wibqam.com/2023/01/12/cody-scherb-sentenced-to-six-years-probation/
1079962931	20230113	202301	2023	2023.0356											LAB	WORKER						LAB			1	020	020	02	1	3.0	6	1	6	0.28490028490029	0								2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	20230113030000	https://www.wxyz.com/news/new-senate-bill-seeks-to-repeal-michgans-right-to-work-law
