1081457520	20220123	202201	2022	2022.0630											EDU	SCHOOL						EDU			0	080	080	08	2	5.0	6	1	6	-6.45161290322581	0								3	Tulsa, Oklahoma, United States	US	USOK	OK143	36.154	-95.9928	1100962	3	Tulsa, Oklahoma, United States	US	USOK	OK143	36.154	-95.9928	1100962	20230123164500	https://tulsaworld.com/news/local/govt-and-politics/new-oklahoma-ag-takes-charge-on-swadleys-investigation-land-office-probe/article_bac276e2-9b26-11ed-8de8-8bde3d86b06c.html
1081457521	20220123	202201	2022	2022.0630											EDU	SCHOOL						EDU			0	192	192	19	4	-9.5	6	1	6	-6.45161290322581	0								3	Tulsa, Oklahoma, United States	US	USOK	OK143	36.154	-95.9928	1100962	3	Tulsa, Oklahoma, United States	US	USOK	OK143	36.154	-95.9928	1100962	20230123164500	https://tulsaworld.com/news/local/govt-and-politics/new-oklahoma-ag-takes-charge-on-swadleys-investigation-land-office-probe/article_bac276e2-9b26-11ed-8de8-8bde3d86b06c.html
1081457522	20220123	202201	2022	2022.0630											ZMB	ZAMBIA	ZMB								1	042	042	04	1	1.9	10	1	10	-7.77027027027027	0								1	Tanzania	TZ	TZ		-6	35	TZ	1	Tanzania	TZ	TZ		-6	35	TZ	20230123164500	https://mg.co.za/africa/2023-01-23-slain-zambian-mans-family-not-convinced-remains-from-russia-are-his/
1081457523	20220123	202201	2022	2022.0630	ARE	ABU DHABI	ARE								SAU	RIYADH	SAU								1	036	036	03	1	4.0	10	1	10	1.20967741935484	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	20230123164500	https://www.arabianbusiness.com/markets/equities/ipo/dubai-stock-exchange-in-talks-over-dual-listings-in-2023
1081457524	20220123	202201	2022	2022.0630	DEU	GERMANY	DEU								CHE	SWISS	CHE								0	020	020	02	1	3.0	2	1	2	-0.48780487804878	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	20230123164500	https://www.thestar.com.my/news/world/2023/01/24/explainer-how-to-correctly-re-export-german-tanks
1081457525	20220123	202201	2022	2022.0630	DEU	GERMANY	DEU								CHE	SWISS	CHE								0	020	020	02	1	3.0	2	1	2	-0.48780487804878	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Zurich, ZüSZ, Switzerland	SZ	SZ25	26310	47.3667	8.55	-2554935	4	Zurich, ZüSZ, Switzerland	SZ	SZ25	26310	47.3667	8.55	-2554935	20230123164500	https://www.thestar.com.my/news/world/2023/01/24/explainer-how-to-correctly-re-export-german-tanks
1081457526	20220123	202201	2022	2022.0630	DEU	GERMANY	DEU								CHEGOV	SWISS	CHE					GOV			0	020	020	02	1	3.0	6	1	6	-0.48780487804878	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Zurich, ZüSZ, Switzerland	SZ	SZ25	26310	47.3667	8.55	-2554935	4	Zurich, ZüSZ, Switzerland	SZ	SZ25	26310	47.3667	8.55	-2554935	20230123164500	https://www.thestar.com.my/news/world/2023/01/24/explainer-how-to-correctly-re-export-german-tanks
1081457527	20220123	202201	2022	2022.0630	DEU	GERMANY	DEU								UKR	UKRAINE	UKR								0	072	072	07	2	8.3	7	1	7	-0.48780487804878	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Zurich, ZüSZ, Switzerland	SZ	SZ25	26310	47.3667	8.55	-2554935	20230123164500	https://www.thestar.com.my/news/world/2023/01/24/explainer-how-to-correctly-re-export-german-tanks
1081457528	20220123	202201	2022	2022.0630	DEU	GERMANY	DEU								UKR	UKRAINE	UKR								0	072	072	07	2	8.3	1	1	1	-0.48780487804878	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	20230123164500	https://www.thestar.com.my/news/world/2023/01/24/explainer-how-to-correctly-re-export-german-tanks
1081457529	20220123	202201	2022	2022.0630	EDU	SCHOOL						EDU													1	020	020	02	1	3.0	2	1	2	-1.06007067137809	3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	0								3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	20230123164500	https://patch.com/illinois/hinsdale/leave-public-schools-hinsdale-d86-hopefuls-facebook-post
1081457530	20220123	202201	2022	2022.0630	GOV	PRESIDENT						GOV			PHL	MANILA	PHL								0	042	042	04	1	1.9	8	1	8	1.94647201946472	4	Manila, Manila, Philippines	RP	RPD9	24210	14.6042	120.982	-2437894	4	Manila, Manila, Philippines	RP	RPD9	24210	14.6042	120.982	-2437894	4	Manila, Manila, Philippines	RP	RPD9	24210	14.6042	120.982	-2437894	20230123164500	https://www.philstar.com/business/2023/01/24/2239680/now-telecom-gets-us-grant-set-5g-network
