1081057191	20220120	202201	2022	2022.0548	GOV	CHIEF EXECUTIVE						GOV			GOVEDU	MINIST OF EDUCATION						GOV	EDU		0	051	051	05	1	3.4	10	1	10	1.21506682867557	5	Ashanti Region, Ashanti, Ghana	GH	GH02	16576	6.75	-1.5	-2069926	5	Ashanti Region, Ashanti, Ghana	GH	GH02	16576	6.75	-1.5	-2069926	5	Ashanti Region, Ashanti, Ghana	GH	GH02	16576	6.75	-1.5	-2069926	20230120131500	https://www.graphic.com.gh/daily-graphic-editorials/timely-release-of-students-loan-crucial.html
1081057192	20220120	202201	2022	2022.0548	GOV	PRESIDENT						GOV			LAB	WORKER						LAB			1	010	010	01	1	0.0	3	1	3	-0.53003533568905	4	Madrid, Madrid, Spain	SP	SP29	25820	40.4	-3.68333	-390625	4	Madrid, Madrid, Spain	SP	SP29	25820	40.4	-3.68333	-390625	4	Madrid, Madrid, Spain	SP	SP29	25820	40.4	-3.68333	-390625	20230120131500	https://www.thelocal.es/20230120/in-stats-where-are-spains-foreign-self-employed-workers-from/
1081057193	20220120	202201	2022	2022.0548	GOVEDUGOV	EDUCATION DEPARTMENT						GOV	EDU	GOV	ZAFGOVEDU	ANGIE MOTSHEKGA	ZAF					GOV	EDU		0	051	051	05	1	3.4	5	1	5	3.09917355371901	4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	20230120131500	https://ewn.co.za/2023/01/20/teachers-union-praises-matric-pass-rate-calls-for-speedy-tertiary-placements
1081057194	20220120	202201	2022	2022.0548	ISR	ISRAELI	ISR								ISRMIL	ISRAEL	ISR					MIL			0	190	190	19	4	-10.0	4	1	4	-4.59873760144274	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	20230120131500	https://english.ahram.org.eg/NewsContent/50/1203/484433/AlAhram-Weekly/World/Israeli-escalation-in-the-West-Bank.aspx
1081057195	20220120	202201	2022	2022.0548	ISR	ISRAELI	ISR								PSE	PALESTINIAN	PSE								0	190	190	19	4	-10.0	2	1	2	-4.59873760144274	4	Jenin, West Bank (general), West Bank	WE	WE00	18314	32.4594	35.3009	-794674	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	20230120131500	https://english.ahram.org.eg/NewsContent/50/1203/484433/AlAhram-Weekly/World/Israeli-escalation-in-the-West-Bank.aspx
1081057196	20220120	202201	2022	2022.0548	ISR	ISRAELI	ISR								PSE	PALESTINIAN	PSE								0	190	190	19	4	-10.0	2	1	2	-4.59873760144274	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	4	Jenin, West Bank (general), West Bank	WE	WE00	18314	32.4594	35.3009	-794674	4	Jenin, West Bank (general), West Bank	WE	WE00	18314	32.4594	35.3009	-794674	20230120131500	https://english.ahram.org.eg/NewsContent/50/1203/484433/AlAhram-Weekly/World/Israeli-escalation-in-the-West-Bank.aspx
1081057197	20220120	202201	2022	2022.0548	ISRMIL	ISRAELI	ISR					MIL			ISR	ISRAELI	ISR								0	190	190	19	4	-10.0	6	1	6	-4.59873760144274	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	20230120131500	https://english.ahram.org.eg/NewsContent/50/1203/484433/AlAhram-Weekly/World/Israeli-escalation-in-the-West-Bank.aspx
1081057198	20220120	202201	2022	2022.0548	ISRMIL	ISRAELI	ISR					MIL			PSE	PALESTINIAN	PSE								0	190	190	19	4	-10.0	4	1	4	-4.59873760144274	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	4	Jenin, West Bank (general), West Bank	WE	WE00	18314	32.4594	35.3009	-794674	4	Jenin, West Bank (general), West Bank	WE	WE00	18314	32.4594	35.3009	-794674	20230120131500	https://english.ahram.org.eg/NewsContent/50/1203/484433/AlAhram-Weekly/World/Israeli-escalation-in-the-West-Bank.aspx
1081057199	20220120	202201	2022	2022.0548	ISRMIL	ISRAEL	ISR					MIL			PSE	PALESTINIAN	PSE								0	190	190	19	4	-10.0	2	1	2	-4.59873760144274	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	4	Jenin, West Bank (general), West Bank	WE	WE00	18314	32.4594	35.3009	-794674	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	20230120131500	https://english.ahram.org.eg/NewsContent/50/1203/484433/AlAhram-Weekly/World/Israeli-escalation-in-the-West-Bank.aspx
1081057200	20220120	202201	2022	2022.0548	KENPTY	KENYA	KEN								LEGPTY	CONGRESS						LEG			1	046	046	04	1	7.0	1	1	1	-1.31578947368421	1	Kenya	KE	KE		1	38	KE	1	Kenya	KE	KE		1	38	KE	1	Kenya	KE	KE		1	38	KE	20230120131500	https://www.theafricareport.com/274539/kenya-the-gachagua-mudavadi-battle-and-its-ensuing-impact/
1081057201	20220120	202201	2022	2022.0548	LEGPTY	CONGRESS						LEG			KENPTY	KENYA	KEN								1	046	046	04	1	7.0	1	1	1	-1.31578947368421	1	Kenya	KE	KE		1	38	KE	1	Kenya	KE	KE		1	38	KE	1	Kenya	KE	KE		1	38	KE	20230120131500	https://www.theafricareport.com/274539/kenya-the-gachagua-mudavadi-battle-and-its-ensuing-impact/
1081057202	20220120	202201	2022	2022.0548	LEGPTY	CONGRESS						LEG			PTY	PRESIDENTIAL CANDIDATE									1	046	046	04	1	7.0	4	1	4	-1.31578947368421	1	Kenya	KE	KE		1	38	KE	1	Kenya	KE	KE		1	38	KE	1	Kenya	KE	KE		1	38	KE	20230120131500	https://www.theafricareport.com/274539/kenya-the-gachagua-mudavadi-battle-and-its-ensuing-impact/
1081057203	20220120	202201	2022	2022.0548	PTY	PARTY PRESIDENT																			1	0831	083	08	2	5.0	10	1	10	7.01754385964912	0								0								0								20230120131500	https://www.thestar.com.my/news/nation/2023/01/20/ongkili-receives-unanimous-support-to-continue-leading-pbs
1081057204	20220120	202201	2022	2022.0548	PTY	PRESIDENTIAL CANDIDATE									LEGPTY	CONGRESS						LEG			1	046	046	04	1	7.0	4	1	4	-1.31578947368421	1	Kenya	KE	KE		1	38	KE	1	Kenya	KE	KE		1	38	KE	1	Kenya	KE	KE		1	38	KE	20230120131500	https://www.theafricareport.com/274539/kenya-the-gachagua-mudavadi-battle-and-its-ensuing-impact/
1081057205	20220120	202201	2022	2022.0548	RUS	RUSSIA	RUS								UKR	UKRAINE	UKR								1	120	120	12	3	-4.0	1	1	1	-4.94117647058824	4	Soledar, Donets'ka Oblast', Ukraine	UP	UP05	28556	48.6793	38.089	-1041042	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20230120131500	https://news.yahoo.com/russian-politician-poses-sledgehammer-tribute-123950525.html
1081057206	20220120	202201	2022	2022.0548	RUS	RUSSIA	RUS								UKR	UKRAINE	UKR								1	120	120	12	3	-4.0	1	1	1	-4.94117647058824	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Soledar, Donets'ka Oblast', Ukraine	UP	UP05	28556	48.6793	38.089	-1041042	4	Soledar, Donets'ka Oblast', Ukraine	UP	UP05	28556	48.6793	38.089	-1041042	20230120131500	https://news.yahoo.com/russian-politician-poses-sledgehammer-tribute-123950525.html
1081057207	20221221	202212	2022	2022.9616	NGO	NON GOVERNMENTAL ORGANISATION						NGO			GOV	RULER						GOV			1	172	172	17	4	-5.0	20	2	20	-1.41770563788912	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	20230120131500	https://www.bbc.co.uk/news/world-asia-64341817
1081057208	20230113	202301	2023	2023.0356											EDU	SCHOOL						EDU			1	042	042	04	1	1.9	2	1	2	-1.55339805825243	0								3	Spalding County, Georgia, United States	US	USGA		33.2668	-84.2833	353055	3	Spalding County, Georgia, United States	US	USGA		33.2668	-84.2833	353055	20230120131500	https://www.11alive.com/article/news/local/children-returning-school-griffin-spalding-county/85-e2bfbbba-b4dc-4d43-b10a-d21d7f12a88d
1081057209	20230113	202301	2023	2023.0356											NGA	LAGOS	NGA								1	042	042	04	1	1.9	6	1	6	1.96078431372549	0								4	Ikeja, Lagos, Nigeria	NI	NI05	191295	6.59422	3.33748	-2011499	4	Ikeja, Lagos, Nigeria	NI	NI05	191295	6.59422	3.33748	-2011499	20230120131500	https://www.vanguardngr.com/2023/01/all-set-for-buhari-2-day-visit-to-lagos-next-week-commissioner/
1081057210	20230113	202301	2023	2023.0356	CHR	CHRISTIAN				CHR															0	036	036	03	1	4.0	3	1	3	-0.0400320256205	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	0								4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	20230120131500	https://www.politico.eu/newsletter/berlin-bulletin/pistorius-first-day-scholzology-lessons-electoral-reform/
1081057211	20230113	202301	2023	2023.0356	EDU	SCHOOL						EDU													1	043	043	04	1	2.8	2	1	2	-1.55339805825243	3	City Of Griffin, Georgia, United States	US	USGA	GA255	33.2419	-84.2747	2403763	0								3	City Of Griffin, Georgia, United States	US	USGA		33.2419	-84.2747	2403763	20230120131500	https://www.11alive.com/article/news/local/children-returning-school-griffin-spalding-county/85-e2bfbbba-b4dc-4d43-b10a-d21d7f12a88d
1081057212	20230113	202301	2023	2023.0356	EDU	SCHOOL						EDU			USA	UNITED STATES	USA								1	043	043	04	1	2.8	6	1	6	-1.55339805825243	3	City Of Griffin, Georgia, United States	US	USGA	GA255	33.2419	-84.2747	2403763	3	Spalding County, Georgia, United States	US	USGA		33.2668	-84.2833	353055	3	City Of Griffin, Georgia, United States	US	USGA		33.2419	-84.2747	2403763	20230120131500	https://www.11alive.com/article/news/local/children-returning-school-griffin-spalding-county/85-e2bfbbba-b4dc-4d43-b10a-d21d7f12a88d
1081057213	20230113	202301	2023	2023.0356	EDU	SCHOOL						EDU			USA	UNITED STATES	USA								1	043	043	04	1	2.8	2	1	2	-1.55339805825243	3	City Of Griffin, Georgia, United States	US	USGA	GA255	33.2419	-84.2747	2403763	3	Spalding County, Georgia, United States	US	USGA		33.2668	-84.2833	353055	3	Spalding County, Georgia, United States	US	USGA		33.2668	-84.2833	353055	20230120131500	https://www.11alive.com/article/news/local/children-returning-school-griffin-spalding-county/85-e2bfbbba-b4dc-4d43-b10a-d21d7f12a88d
1081057214	20230113	202301	2023	2023.0356	GBRGOV	UNITED KINGDOM	GBR					GOV													1	051	051	05	1	3.4	2	1	2	4.70219435736677	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	0								4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20230120131500	https://www.theguardian.com/artanddesign/2023/jan/20/historic-hispanic-masterpieces-freaky-ceramics-and-londons-bloody-rites-the-week-in-art
1081057215	20230113	202301	2023	2023.0356	GOV	MINIST						GOV													0	036	036	03	1	4.0	5	1	5	-0.0400320256205	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	0								4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	20230120131500	https://www.politico.eu/newsletter/berlin-bulletin/pistorius-first-day-scholzology-lessons-electoral-reform/
1081057216	20230113	202301	2023	2023.0356	GOV	PRESIDENT						GOV			SPY	INTELLIGENCE						SPY			1	046	046	04	1	7.0	8	1	8	-2.4390243902439	4	Soledar, Donets'ka Oblast', Ukraine	UP	UP05	28556	48.6793	38.089	-1041042	4	Soledar, Donets'ka Oblast', Ukraine	UP	UP05	28556	48.6793	38.089	-1041042	4	Soledar, Donets'ka Oblast', Ukraine	UP	UP05	28556	48.6793	38.089	-1041042	20230120131500	https://www.rferl.org/a/ukraine-soledar-un-convoy/32232352.html
1081057217	20230113	202301	2023	2023.0356	UKRGOV	UKRAINE	UKR					GOV			SPY	INTELLIGENCE						SPY			1	046	046	04	1	7.0	2	1	2	-2.4390243902439	4	Soledar, Donets'ka Oblast', Ukraine	UP	UP05	28556	48.6793	38.089	-1041042	4	Soledar, Donets'ka Oblast', Ukraine	UP	UP05	28556	48.6793	38.089	-1041042	4	Soledar, Donets'ka Oblast', Ukraine	UP	UP05	28556	48.6793	38.089	-1041042	20230120131500	https://www.rferl.org/a/ukraine-soledar-un-convoy/32232352.html
1081057218	20230113	202301	2023	2023.0356	USA	UNITED STATES	USA								EDU	SCHOOL						EDU			1	042	042	04	1	1.9	4	1	4	-1.55339805825243	3	Spalding County, Georgia, United States	US	USGA	GA255	33.2668	-84.2833	353055	3	City Of Griffin, Georgia, United States	US	USGA		33.2419	-84.2747	2403763	3	City Of Griffin, Georgia, United States	US	USGA		33.2419	-84.2747	2403763	20230120131500	https://www.11alive.com/article/news/local/children-returning-school-griffin-spalding-county/85-e2bfbbba-b4dc-4d43-b10a-d21d7f12a88d
1081057219	20230113	202301	2023	2023.0356	USA	UNITED STATES	USA								EDU	SCHOOL						EDU			1	042	042	04	1	1.9	2	1	2	-1.55339805825243	3	Spalding County, Georgia, United States	US	USGA	GA255	33.2668	-84.2833	353055	3	City Of Griffin, Georgia, United States	US	USGA		33.2419	-84.2747	2403763	3	Spalding County, Georgia, United States	US	USGA		33.2668	-84.2833	353055	20230120131500	https://www.11alive.com/article/news/local/children-returning-school-griffin-spalding-county/85-e2bfbbba-b4dc-4d43-b10a-d21d7f12a88d
1081057220	20230113	202301	2023	2023.0356	USA	UNITED STATES	USA								EDU	SCHOOL						EDU			1	042	042	04	1	1.9	2	1	2	-1.55339805825243	3	Spalding County, Georgia, United States	US	USGA	GA255	33.2668	-84.2833	353055	3	Spalding County, Georgia, United States	US	USGA		33.2668	-84.2833	353055	3	Spalding County, Georgia, United States	US	USGA		33.2668	-84.2833	353055	20230120131500	https://www.11alive.com/article/news/local/children-returning-school-griffin-spalding-county/85-e2bfbbba-b4dc-4d43-b10a-d21d7f12a88d
1081057221	20230119	202301	2023	2023.0521	FRA	FRANCE	FRA								EDU	SCHOOL						EDU			1	141	141	14	3	-6.5	5	1	5	-6.58627087198515	4	Rome, Lazio, Italy	IT	IT07	18350	41.9	12.4833	-126693	4	Rome, Lazio, Italy	IT	IT07	18350	41.9	12.4833	-126693	4	Rome, Lazio, Italy	IT	IT07	18350	41.9	12.4833	-126693	20230120131500	https://www.dailymail.co.uk/news/article-11657519/How-militant-unions-causing-chaos-Europe.html
1081057222	20230119	202301	2023	2023.0521	GHA	GHANA	GHA																		1	010	010	01	1	0.0	3	1	3	2.53807106598985	4	Abutia, Ghana (general), Ghana	GH	GH00	190716	6.97961	-0.578589	-2067927	0								4	Abutia, Ghana (general), Ghana	GH	GH00	190716	6.97961	-0.578589	-2067927	20230120131500	https://www.businessghana.com/site/news/business/278326/Oil-palm-expansion-project-takes-off-in-Ho-West-District-200-Farmers-
1081057223	20230120	202301	2023	2023.0548											AFR	AFRICA	AFR								1	010	010	01	1	0.0	4	1	4	2.98507462686567	0								4	Rustenburg, North-West, South Africa	SF	SF10	77346	-25.6676	27.2421	-1279885	4	Rustenburg, North-West, South Africa	SF	SF10	77346	-25.6676	27.2421	-1279885	20230120131500	https://www.thesouthafrican.com/news/watch-south-africas-top-matric-class-2022-mathematics-pupil-in-shock-20-january-2023/
1081057224	20230120	202301	2023	2023.0548											AUS	AUSTRALIA	AUS								1	051	051	05	1	3.4	1	1	1	5.49273021001616	0								4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	22391	-41.3	174.783	-1521348	4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	22391	-41.3	174.783	-1521348	20230120131500	https://bocaratonobserver.com/events/wellington-art-society-feature-ceramicist-cynthia-zmetronak-february-meeting/
1081057225	20230120	202301	2023	2023.0548											AUS	AUSTRALIA	AUS								1	051	051	05	1	3.4	3	1	3	5.49273021001616	0								4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	22391	-41.3	174.783	-1521348	3	Boca Raton Museum Of Art, Florida, United States	US	USFL		26.3553	-80.0858	2447791	20230120131500	https://bocaratonobserver.com/events/wellington-art-society-feature-ceramicist-cynthia-zmetronak-february-meeting/
1081057226	20230120	202301	2023	2023.0548											AUS	AUSTRALIA	AUS								1	051	051	05	1	3.4	2	1	2	5.49273021001616	0								3	Boca Raton Museum Of Art, Florida, United States	US	USFL		26.3553	-80.0858	2447791	3	Boca Raton Museum Of Art, Florida, United States	US	USFL		26.3553	-80.0858	2447791	20230120131500	https://bocaratonobserver.com/events/wellington-art-society-feature-ceramicist-cynthia-zmetronak-february-meeting/
1081057227	20230120	202301	2023	2023.0548											AUSHLH	AUSTRALIA	AUS					HLH			1	043	043	04	1	2.8	10	1	10	-2.38907849829351	0								1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	20230120131500	https://www.brainerddispatch.com/community/this-was-brainerd-jan-20-2
1081057228	20230120	202301	2023	2023.0548											BGD	BANGLADESH	BGD								1	051	051	05	1	3.4	4	1	4	-0.25906735751295	0								4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	20230120131500	https://www.newagebd.net/article/192172/foreigners-directives-over-democracy-wont-be-allowed-quader
1081057229	20230120	202301	2023	2023.0548											BGD	BANGLADESH	BGD								1	051	051	05	1	3.4	4	1	4	-0.28328611898017	0								1	Bangladesh	BG	BG		24	90	BG	1	Bangladesh	BG	BG		24	90	BG	20230120131500	https://www.tbsnews.net/bangladesh/politics/foreigners-directives-over-democracy-not-be-allowed-quader-571262
1081057230	20230120	202301	2023	2023.0548											BRA	BRAZIL	BRA								0	0241	024	02	1	-0.3	2	1	2	-4.28893905191873	0								1	Brazil	BR	BR		-10	-55	BR	1	Brazil	BR	BR		-10	-55	BR	20230120131500	https://gcn.ie/gay-republican-george-santos-drag-queen/
1081057231	20230120	202301	2023	2023.0548											BUS	BANK						BUS			1	020	020	02	1	3.0	3	1	3	-0.74547390841321	0								4	Glasgow, Glasgow City, United Kingdom	UK	UKV2	40176	55.8333	-4.25	-2597039	4	Glasgow, Glasgow City, United Kingdom	UK	UKV2	40176	55.8333	-4.25	-2597039	20230120131500	https://www.thebanker.com/Comment-Profiles/Editor-s-Blog/Money-matters-with-climate-change
1081057232	20230120	202301	2023	2023.0548											BUS	INVESTOR						BUS			1	040	040	04	1	1.0	3	1	3	1.1090573012939	0								4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	20230120131500	https://www.finanznachrichten.de/nachrichten-2023-01/58110281-nextech-ar-solutions-corp-to-present-at-the-alphanorth-capital-event-on-january-21st-200.htm
1081057233	20230120	202301	2023	2023.0548											BUS	COMPANY						BUS			1	190	190	19	4	-10.0	10	1	10	1.19176598049838	0								1	Germany	GM	GM		51.5	10.5	GM	1	Germany	GM	GM		51.5	10.5	GM	20230120131500	https://www.thenews-messenger.com/story/news/local/2023/01/20/pocock-others-put-best-paw-forward-to-remember-four-legged-friends/69802189007/
1081057234	20230120	202301	2023	2023.0548											BUS	COMPANY						BUS			1	192	192	19	4	-9.5	10	1	10	2.29976209357653	0								4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	20230120131500	https://www.finanznachrichten.de/nachrichten-2023-01/58110280-arway-corporation-arway-the-spatial-computing-platform-for-the-metaverse-announces-multiple-pilot-projects-for-ar-wayfinding-200.htm
1081057235	20230120	202301	2023	2023.0548											CHN	CHINA	CHN								0	020	020	02	1	3.0	1	1	1	0.81799591002045	0								4	Shanghai, Shanghai, China	CH	CH23	13243	31.2222	121.458	-1924465	4	Dunhuang, Gansu, China	CH	CH15	13019	40.1667	94.6833	-1904651	20230120131500	http://www.thatsmags.com/china/post/35601/city-snapshot-3-instagrammers-share-their-tools-and-tips
1081057236	20230120	202301	2023	2023.0548											CHN	CHINA	CHN								0	020	020	02	1	3.0	1	1	1	0.81799591002045	0								4	Shanghai, Shanghai, China	CH	CH23	13243	31.2222	121.458	-1924465	4	Hangzhou, Zhejiang, China	CH	CH02	13319	30.2553	120.169	-1908366	20230120131500	http://www.thatsmags.com/china/post/35601/city-snapshot-3-instagrammers-share-their-tools-and-tips
1081057237	20230120	202301	2023	2023.0548											CHN	SHENZHEN	CHN								1	042	042	04	1	1.9	7	1	7	0.81799591002045	0								4	Shenzhen, Guangdong, China	CH	CH30	13036	22.2	111.117	-1925267	4	Shenzhen, Guangdong, China	CH	CH30	13036	22.2	111.117	-1925267	20230120131500	http://www.thatsmags.com/china/post/35601/city-snapshot-3-instagrammers-share-their-tools-and-tips
1081057238	20230120	202301	2023	2023.0548											CHN	CHINA	CHN								0	100	100	10	3	-5.0	1	1	1	0.81799591002045	0								4	Shanghai, Shanghai, China	CH	CH23	13243	31.2222	121.458	-1924465	4	Hangzhou, Zhejiang, China	CH	CH02	13319	30.2553	120.169	-1908366	20230120131500	http://www.thatsmags.com/china/post/35601/city-snapshot-3-instagrammers-share-their-tools-and-tips
1081057239	20230120	202301	2023	2023.0548											CHN	CHINA	CHN								0	100	100	10	3	-5.0	1	1	1	0.81799591002045	0								4	Shanghai, Shanghai, China	CH	CH23	13243	31.2222	121.458	-1924465	4	Shanghai, Shanghai, China	CH	CH23	13243	31.2222	121.458	-1924465	20230120131500	http://www.thatsmags.com/china/post/35601/city-snapshot-3-instagrammers-share-their-tools-and-tips
1081057240	20230120	202301	2023	2023.0548											CHNCVL	NANNING	CHN					CVL			0	043	043	04	1	2.8	3	1	3	0.81799591002045	0								4	Nanning, Guangxi, China	CH	CH16	13058	22.8167	108.317	-1919650	4	Nanning, Guangxi, China	CH	CH16	13058	22.8167	108.317	-1919650	20230120131500	http://www.thatsmags.com/china/post/35601/city-snapshot-3-instagrammers-share-their-tools-and-tips
1081057241	20230120	202301	2023	2023.0548											CVL	COMMUNITY						CVL			0	046	046	04	1	7.0	6	1	6	1.03806228373703	0								4	Byzantium, Istanbul, Turkey	TU	TU34	27897	41.0186	28.9647	-755070	4	Byzantium, Istanbul, Turkey	TU	TU34	27897	41.0186	28.9647	-755070	20230120131500	https://www.eyeonannapolis.net/2023/01/daily-news-brief-january-20-2023/
